collection_name,timestamp,target_name,target_type,metric_name,metric_column,value
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/empbs,j2ee_application,deployment_app_ejb_pool,ejbPoolDestroy.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/empbs,j2ee_application,deployment_app_ejb_pool,ejbPoolFailed.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/empbs,j2ee_application,deployment_app_ejb_pool,ejbPoolAccessSuccess.percentage,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/empbs,j2ee_application,deployment_app_ejb_pool,ejbPoolAvailable.active,0
log_full,2025-12-25T14:45:59.642+05:30,mitestdb,oracle_database,dumpFull,dumpType,background
log_full,2025-12-25T14:45:59.642+05:30,mitestdb,oracle_database,dumpFull,dumpDir,/oradata/app/oracle/diag/rdbms/mitestdb/mitestdb/trace
log_full,2025-12-25T14:45:59.642+05:30,mitestdb,oracle_database,dumpFull,dumpTotal,366822400
log_full,2025-12-25T14:45:59.642+05:30,mitestdb,oracle_database,dumpFull,dumpUsed,160472832
log_full,2025-12-25T14:45:59.642+05:30,mitestdb,oracle_database,dumpFull,dumpUsedPercent,44
log_full,2025-12-25T14:45:59.642+05:30,mitestdb,oracle_database,dumpFull,dumpAvail,206349568
problemTbspTemp_Loc,2025-12-25T14:46:01.593+05:30,mitestdb_CDBROOT,oracle_pdb,problemTbspTemp,name,TEMP
problemTbspTemp_Loc,2025-12-25T14:46:01.593+05:30,mitestdb_CDBROOT,oracle_pdb,problemTbspTemp,pctUsed,0
problemTbspTemp_Loc,2025-12-25T14:46:01.593+05:30,mitestdb_CDBROOT,oracle_pdb,problemTbspTemp,bytesFree,32767.984
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/OCMRepeater,j2ee_application,deployment_app_ejb_pool,ejbPoolAccess.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/OCMRepeater,j2ee_application,deployment_app_ejb_pool,ejbPoolUsed.active,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/OCMRepeater,j2ee_application,deployment_app_ejb_pool,ejbPoolDestroy.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/OCMRepeater,j2ee_application,deployment_app_ejb_pool,ejbPoolFailed.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/OCMRepeater,j2ee_application,deployment_app_ejb_pool,ejbPoolAccessSuccess.percentage,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/OCMRepeater,j2ee_application,deployment_app_ejb_pool,ejbPoolAvailable.active,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/emgc,j2ee_application,deployment_app_ejb_pool,ejbPoolAccess.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/emgc,j2ee_application,deployment_app_ejb_pool,ejbPoolUsed.active,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/emgc,j2ee_application,deployment_app_ejb_pool,ejbPoolDestroy.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/emgc,j2ee_application,deployment_app_ejb_pool,ejbPoolFailed.throughput,0
deployment_ejb_pool_metrics,2025-12-25T14:43:57.535+05:30,/EMGC_GCDomain/GCDomain/EMGC_OMS1/emgc,j2ee_application,deployment_app_ejb_pool,ejbPoolAccessSuccess.percentage,0
